alias,orderNo,statusDesc,createdIso,warehouseCode,ebsOfficial,ebsAll,wis,sopChars,chatLayer,udeskSessions,feishuHits
A,VASC000000271665,已完成,2026-04-24T07:25:03+00:00,US0001,,,WI49508612,174,feishu,0,1
A,VASC000000293940,已完成,2026-06-05T07:50:40+00:00,USKY5,,,WI49968900,92,both,0,1
A,VASC000000296319,已完成,2026-06-10T06:21:43+00:00,USWC5,EB0126060630160083;EB0126060630160512;EB0126060630160764;EB0126060630160818;EB0126060630160848;EB0126060630160869;EB0126060630160872,EB0126060630160083;EB0126060630160512;EB0126060630160764;EB0126060630160818;EB0126060630160848;EB0126060630160869;EB0126060630160872,WI50387161,113,feishu,0,1
A,VASC000000296325,异常终止,2026-06-10T06:26:34+00:00,USWC2,EB0126060330030603,EB0126060330030603,WI49040703,157,feishu,0,1
A,VASC000000301812,已完成,2026-06-20T07:23:59+00:00,USWC5,,,WI49769100;WI50566982,80,both,0,1
A,VASC000000311520,已取消,2026-07-03T07:29:34+00:00,USGA,,,WI50823998,372,feishu,0,1
A,VASC000000319617,已完成,2026-07-16T10:01:33+00:00,DEBR2,EB0126070230988464,EB0126070230988464,WI51052110,119,none,0,0
A,VASC000000329235,已完成,2026-08-03T08:22:07+00:00,US0001,EB0126073131782432;EB0126073131782510;EB0126073131782618;EB0126073131782987,EB0126073131782432;EB0126073131782510;EB0126073131782618;EB0126073131782987,WI51519902,313,none,0,0
A,VASC000000330510,已完成,2026-08-05T06:23:28+00:00,EWD,EB0326080331871097,EB0326080331871097,WI51576425,156,none,0,0
A,VASC000000330957,已完成,2026-08-06T02:14:49+00:00,USWC5,EB0126073131829337,EB0126073131829337,WI51598958,151,none,0,0
A,VASC000000331374,异常终止,2026-08-06T09:34:15+00:00,USKY5,EB0126080531969893,EB0126080531969893,WI51095972,159,none,0,0
A,VASC000000332697,异常终止,2026-08-10T04:25:30+00:00,US0001,EB0126080531930887,EB0126080531930887,WI51688686,142,none,0,0
A,VASC000000342420,已完成,2026-08-26T08:00:20+00:00,DENW3,EB0126081932324742;EB0126081932324811,EB0126081932324742;EB0126081932324811,WI51652234,136,none,0,0
A,VASC000000342426,已完成,2026-08-26T08:01:48+00:00,DENW3,EB0126081932302560;EB0126081932324574,EB0126081932302560;EB0126081932324574,WI51652234,107,none,0,0
A,VASC000000342429,已完成,2026-08-26T08:02:57+00:00,DENW3,EB0126081932323983;EB0126081932324199;EB0126081932324412,EB0126081932323983;EB0126081932324199;EB0126081932324412,WI51652234,146,none,0,0
B,VASC000000270000,已完成,2026-04-22T01:04:55+00:00,DE0001,EB0126032028217574,EB0126032028217574,,394,feishu,0,2
B,VASC000000270393,已完成,2026-04-22T08:02:10+00:00,DEBR2,,,WI48849003,402,both,1,1
B,VASC000000274572,已完成,2026-04-30T05:52:48+00:00,UKGF,EB0126042929137338,EB0126042929137338,,425,feishu,0,2
B,VASC000000277680,已取消,2026-05-07T08:29:21+00:00,USKY3,EB0126050529256237,EB0126050529256237,,479,both,1,1
B,VASC000000277692,已取消,2026-05-07T08:49:09+00:00,USKY3,EB0126050529256120,EB0126050529256120,,481,both,1,1
B,VASC000000278778,已完成,2026-05-09T01:37:00+00:00,DEBR2,EB0126050729300937;EB0126050729300985;EB0126050729301732;EB0126050829337246;EB0126050829339646,EB0126050729300937;EB0126050729300985;EB0126050729301732;EB0126050829337246;EB0126050829339646,,530,feishu,0,2
B,VASC000000279183,已完成,2026-05-09T08:04:20+00:00,DEBR2,EB0126050529243448;EB0126050629274111;EB0126050829336904;EB0126050829339373;EB0126050829339553,EB0126050529243448;EB0126050629274111;EB0126050829336904;EB0126050829339373;EB0126050829339553,,435,feishu,0,1
B,VASC000000279456,已完成,2026-05-11T03:10:18+00:00,UKTW,EB0326043029163189,EB0326043029163189,WI48655204,388,feishu,0,1
B,VASC000000281031,已下单,2026-05-13T02:57:33+00:00,USKY3,,,,543,both,0,1
B,VASC000000284205,已完成,2026-05-19T02:56:53+00:00,USKY3,EB0126051329421636,EB0126051329421636,,135,feishu,0,1
B,VASC000000285234,已完成,2026-05-20T07:18:24+00:00,USKY3,EB0126051329421717,EB0126051329421717,,111,feishu,0,1
