id,conversation_id,start_at,分类,category,rounds,score,inboundHits,vaHits,sceneTags,vasc,eb,wi,omsClass,omsOrderNo,omsScene
76792,7628456036743888905,2026/05/22 08:47,系统,"ERP和平台同步,ERP和平台同步,出库,尾程,ERP和平台同步,出库,出库,ERP和平台同步,转人工,转人工,入库,入库,入库,转人工,转人工,入库,入库,转人工,商品,出库,转人工,转人工,出库,转人工,出库,转人工,出库,转人工,出库,出库,转人工,转人工,转人工,商品,商品,出库,商品,出库,基本业务和政策介绍,商品,出库,ERP和平台同步,转人工,转人工,基本业务和政策介绍,转人工,ERP和平台同步,转人工,ERP和平台同步,转人工,ERP和平台同步,基本业务和政策介绍",25,116.0,异常单|无法上架|商品条码|入库单|到仓|WI,增值单|提交增值|非标增值,F-001|A,,,WI49267501,,,
130654,7678213890718957604,2026/08/26 13:52,,"转人工,Other intentions,入库,转人工,转人工,转人工",6,115.12,异常单|条码异常|包裹条码|辨识|入库单|到仓|EB,提交增值,F-001|B,VASC202407031503503|VASC202407161056217,EB0126082232399565,,,,
23617,7572485424556441635,2025/11/29 09:59,无,,9,100.0,异常单|无法上架|商品条码|入库单|到仓,增值单|提交增值|非标增值,F-001|A,,,,,,
76562,7566602602697490478,2026/05/22 08:57,增值,"入库,地址咨询,退货,转人工",3,83.78,异常单|WI|EB,增值单|下增值|VASC,,VASC000000285546,EB0126052029604774,WI48898026,inbound_other,VASC000000285546,【入库】包裹串仓异常调拨
122154,7522671921138303016,2026/08/12 18:42,基本业务和政策介绍,"转人工,入库,价格方案,转人工,入库,财务、充值和结算,库存管理,出库,入库,入库,价格方案,入库,财务、充值和结算,Other intentions,Other intentions,转人工,转人工,库存管理,价格方案,入库,价格方案",12,80.0,条码异常|包裹条码|EB,提交增值|VASC,F-001,VASC202407031503503|VASC202407161056217,EB0126081232158380,,inbound_other,VASC000000333915|VASC000000334548|VASC000000334815|VASC000000334821|VASC000000335184,【入库】批量辨识商品后补贴商品条码及包裹条码上架
98302,7657091023184625704,2026/06/30 15:44,,"索赔,基本业务和政策介绍,库存管理,入库,入库",4,75.34,条码异常|换标|包裹条码|EB,增值单|下增值,F-001,,EB0126050829323080,,,,
102560,7618211993099796518,2026/07/08 14:14,增值,"库存管理,Other intentions,Other intentions,转人工,入库,转人工,入库,入库,Other intentions",8,73.38,异常单|WI|EB,增值单|VASC,,VASC000000313551,EB0526070731087833,WI50336644,out_of_scope,VASC000000313551,【库内】覆盖A包包裹外箱上的商品标签
97600,7656815518394138633,2026/06/29 21:55,,入库,2,73.04,条码异常|包裹条码|入库单|WI,增值单|下增值,F-001,,,WI49591924,,,
88000,7616302246116393002,2026/06/11 09:07,,"入库,库存管理,入库,库存管理,转人工,转人工,入库,库存管理,库存管理,入库,库存管理,入库,库存管理,转人工,转人工",10,69.74,换标|更换条码|商品条码|入库单,增值单|下增值,F-001,,,,,,
111073,7545308601440682024,2026/07/23 09:40,入库,"出库,转人工,入库,转人工,转人工,入库",4,69.3,包裹异常|入库单|WI|EB,处理异常,A,,EB0126072331542522,WI49922736,inbound_other,VASC000000324000,
98282,7656824022987030580,2026/06/30 21:39,,"入库,入库,入库,Other intentions,Other intentions,出库",6,68.46,入库单|EB,增值单|下增值|VASC,,VASC000000290724|VASC000000294237,EB0126040628614246,,inbound_other|out_of_scope,VASC000000262299|VASC000000290724|VASC000000294237,【出库】补贴/更换商品标签|仓库已完成 需补收费用
5136,7524983882375053338,2025/07/10 18:18,,,1,65.98,包裹条码|辨识|入库单|到仓,提交增值,F-001|B,,,,,,
41780,7594388784277045257,2026/02/07 09:42,入库,"入库,出库,退货,入库,入库,转人工,入库,入库,入库,直发送仓,转人工,入库,直发送仓,转人工",7,65.5,异常单|入库单|到仓|WI,提交增值,B,,,WI48294365,,,
22950,7533589357878509611,2025/11/26 16:31,入库,,5,65.28,异常单|贴标|商品条码|EB,提交增值,F-001,,EB0125112624601155,,inbound_other,VASC000000197421|VASC000000197898|VASC000000201336|VASC000000201987|VASC000000202023|VASC000000202032,
57371,7527147724408979492,2026/04/20 09:27,系统,"账号和权限,入库,转人工,账号和权限,入库,账号和权限,转人工,入库,转人工,账号和权限,转人工,入库",5,64.38,异常单|入库单|WI|EB,处理异常,,,EB0326041028727481,WI48273393,inbound_other,VASC000000268920|VASC000000268926,
99701,7657818314115153956,2026/07/02 14:47,入库,"入库,入库,入库,库存管理",4,62.46,WI|EB,增值单|VASC,,VASC000000262299,EB0126031127872772,WI48567547,inbound_other,VASC000000251025|VASC000000262299,
56590,7599610465099317311,2026/04/17 10:55,入库,"入库,入库,转人工,入库,转人工,商品,入库,入库,入库,财务、充值和结算",7,61.34,商品条码|包裹条码|入库单,增值单|非标增值,F-001,,,,,,
33576,7591396937698476042,2026/01/04 14:57,账户,"入库,库存管理,系统故障和投诉,入库,库存管理,入库,库存管理,转人工",3,59.3,异常单|条码异常|包裹条码,创建增值|处理异常,F-001,,,,,,
88428,7650132069839126579,2026/06/11 21:40,,"库存管理,入库,商品,入库,基本业务和政策介绍",3,55.48,换标|入库单,增值单|提交增值,F-001|B,,,,,,
38307,7579454807707254811,2026/01/20 16:47,,"入库,入库,入库,入库,商品,直发送仓,入库",5,55.32,异常单|贴标|辨识,做增值,F-001,,,WI47808606,,,
30664,7533788262306103311,2025/12/24 09:32,,"价格方案,转人工,入库,入库,转人工,入库,转人工,入库,入库,转人工,转人工,转人工,转人工,转人工",11,54.56,WI|EB,增值单|下增值,,,EB0225122325529571,WI47086894,,,
119772,7625859950866890798,2026/08/07 07:43,增值,"入库,入库,商品,入库,转人工,转人工,入库,商品",4,51.44,异常单|EB,增值单|创建增值,,,EB0126080732049456,,inbound_other,VASC000000331593,
11336,7540960307083427867,2025/08/21 16:57,增值,,8,50.18,EB,VASC,F-001|A,VASC000000145888|VASC000000145897,EB0125081421862033,,inbound_other,VASC000000145888|VASC000000145897,
85324,7631060470091497481,2026/06/06 14:37,,"转人工,转人工,入库,库存管理,系统故障和投诉",3,49.1,异常单|EB,提交增值,B,,EB0126060230022710,WI48752558,inbound_other,VASC000000294384|VASC000000294390,
76563,7566602602697490478,2026/05/22 11:02,增值,"入库,库存管理,入库,库存管理,入库,入库,库存管理,转人工",4,48.72,WI,增值单|VASC,,VASC000000285546,,WI48898026,inbound_other,VASC000000285546,【入库】包裹串仓异常调拨
90965,7651902885655117876,2026/06/16 16:11,,"商品,入库,入库,商品,转人工,入库,转人工,转人工,商品,入库,系统故障和投诉",4,48.7,异常单|换标|换标签,处理异常,F-001,,,,,,
25803,7519759014356467721,2025/12/05 09:17,入库,,4,48.38,商品条码|到仓,增值单|创建增值,F-001,,,,,,
28741,7525701879431544868,2025/12/16 21:26,,"转人工,出库,出库,入库,库存管理",3,48.2,贴标,增值单|VASC,F-001,VASC000000207828,,,out_of_scope,VASC000000207828,
53660,7628060502920970278,2026/04/13 10:11,库内,"转人工,入库,库存管理,入库,转人工,入库,库存管理,转人工,入库,入库,库存管理,价格方案,库存管理,入库,库存管理,转人工,入库,转人工",10,47.3,到仓|WI,提交增值,B,,,WI48864424,inbound_other,VASC000000265047|VASC000000265050,
130545,7668565220126933007,2026/08/26 13:56,,"转人工,转人工,转人工,转人工,Other intentions,沟通打趣,入库",8,47.04,条码异常|包裹条码,处理异常,F-001,VASC202407031503503|VASC202407161056217,,,,,
74392,7539765652463403060,2026/05/19 14:16,入库,"转人工,转人工,转人工,转人工,转人工,转人工,入库,转人工,转人工,转人工,转人工",11,46.42,异常单|EB,处理异常,,,EB0326033128479549|EB0326041728879977,WI48696247|WI49320156,,,
133904,7670369249924186155,2026/09/01 15:12,,"入库,库存管理,系统故障和投诉",2,45.22,入库单,增值单|VASC,,VASC000000335862,,WI51723153,unknown,VASC000000335862,
7669,7534546796974997514,2025/09/11 18:11,,,2,44.66,换标,增值单|VASC,F-001,VASC000000153870,,,out_of_scope,VASC000000153870,
125273,7674885663984287753,2026/08/17 14:36,增值,"系统故障和投诉,转人工,系统故障和投诉,入库,库存管理,出库,Other intentions",4,43.48,异常单,增值单|VASC,,VASC000000334710,,,inbound_other,VASC000000334710,
72858,7629747782312443910,2026/05/15 01:49,,"商品,商品,入库,入库,系统故障和投诉",3,42.58,异常单,增值单|VASC,,VASC000000282261|VASC000000282264|VASC000000282267|VASC000000282270,,,inbound_other,VASC000000282261|VASC000000282264|VASC000000282267|VASC000000282270,
99726,7657918841910394914,2026/07/02 21:17,增值,入库,1,42.54,入库异常,增值单|VASC,,VASC000000294237,,,out_of_scope,VASC000000294237,仓库已完成 需补收费用
99727,7657919073963376690,2026/07/02 21:17,增值,"入库,库存管理",1,42.54,入库异常,增值单|VASC,,VASC000000294237,,,out_of_scope,VASC000000294237,仓库已完成 需补收费用
99728,7657919349797699610,2026/07/02 21:18,增值,入库,1,42.54,入库异常,增值单|VASC,,VASC000000294237,,,out_of_scope,VASC000000294237,仓库已完成 需补收费用
99729,7657921933132513332,2026/07/02 21:28,增值,入库,1,42.54,入库异常,增值单|VASC,,VASC000000294237,,,out_of_scope,VASC000000294237,仓库已完成 需补收费用
88794,7625859950866890798,2026/06/12 08:50,入库,"入库,出库,通知与待办,入库,出库,转人工,系统故障和投诉,入库,出库,转人工,转人工,转人工,Other intentions,Other intentions,转人工",8,41.76,入库单,增值单|VASC,,VASC000000297426,,,inbound_other,VASC000000297426,
91454,7636324414711922740,2026/06/17 14:56,,"转人工,Other intentions,入库,库存管理,转人工,转人工",5,41.0,异常单,增值单|VASC,,VASC000000299823,,,out_of_scope,VASC000000299823,
125174,7665235651638886419,2026/08/17 14:42,,"库存管理,出库,系统故障和投诉",2,40.82,异常单|EB,增值单,,,EB0125102423543970,WI46526914,,,
99708,7657839685168283654,2026/07/02 16:10,,"入库,Other intentions",2,40.74,入库单,增值单|VASC,,VASC000000294237,,,out_of_scope,VASC000000294237,仓库已完成 需补收费用
77724,7574994689527660578,2026/05/25 14:49,,"商品,入库,出库,转人工,入库,系统故障和投诉",2,40.46,异常单|EB,增值单,,,EB0126052229716230,,inbound_other,VASC000000287532,
56228,7520068640054755379,2026/04/17 09:41,增值,"转人工,库存管理,库存管理,系统故障和投诉,库存管理,系统故障和投诉",4,40.34,换标,增值单|非标增值,F-001,,,,,,
73019,7639638593036484658,2026/05/15 16:47,,"入库,退货,库存管理,入库,转人工",2,40.14,包裹条码|入库单,下增值,F-001,,,,,,
42940,7585021291628396587,2026/02/15 16:52,出库,"出库,系统故障和投诉,出库,出库,出库,转人工,出库,出库,出库,系统故障和投诉,转人工,入库,出库,库存管理,基本业务和政策介绍,Other intentions,出库,Other intentions,出库,出库,出库,出库,系统故障和投诉,出库,尾程,系统故障和投诉,转人工,出库,尾程,转人工",18,40.0,异常单|入库单,增值单,,,,,,,
